,Kingdom,Phylum,Class,Order,Family,Genus,SRR21231019,SRR21231020,SRR21231021,SRR21231022,SRR21231023,SRR21231024,SRR21231025,SRR21231026,SRR21231027,SRR21231028,SRR21231029,SRR21231030
2544,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,4,12,1,0,0,0,0,0,65,0,0,0
2546,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,32,48,0,0,0,0,0,0,0,43,0,0
2549,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,0,10,0,0,7,0,0,0,0,0,0
2550,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,0,10,0,0,6,0,0,0,49,0,0
2551,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,0,13,0,0,10,0,0,0,0,0,0
2552,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,0,14,0,0,9,0,0,0,36,0,0
2554,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,7,7,3,0,0,8,0,0,0,0,28,0
2555,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,8,5,2,0,0,8,0,0,61,0,0,0
2556,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,12,8,4,0,0,4,0,0,0,53,0,0
2557,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,9,18,3,0,0,2,0,0,0,0,29,0
2558,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,10,11,10,0,0,2,83,0,0,0,30,0
2559,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,6,6,15,0,0,5,0,67,0,0,0,0
2560,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,4,7,18,0,0,9,0,0,0,0,0,0
2561,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,11,5,6,0,0,7,0,0,53,0,0,0
2563,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,7,4,7,0,0,6,0,0,0,0,49,0
2568,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,76,0,0,0,0,60,0,0,0,0,0,0
2574,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,162,0,0,0,21,0,0,0,0,0,17,0
2578,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,0,0,0,23,0,0,0,0,0,19,0
2590,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Fictibacillus,25,0,0,0,0,22,0,0,0,0,0,0
2694,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,17,0,0,0,0,0,0,55,0,0,0,0
2721,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,13,8,17,0,0,11,0,0,19,0,0,0
2722,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,23,9,13,0,0,20,0,0,25,0,0,0
2723,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,0,6,12,99,0,8,0,0,0,157,0,0
2724,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,12,6,11,0,0,4,0,0,36,0,0,0
2725,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,21,7,11,0,0,13,0,0,27,0,0,0
2733,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,76,0,0,0,0,36,0,0,18,0,0,0
2736,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,0,8,0,0,0,0,0,0,0,47,0,0
2761,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,73,42,0,0,0,103,88,0,0,0,0,0
2782,Bacteria,Chloroflexi,KD4-96,,,,12,0,0,0,0,0,0,243,0,0,0,0
2783,Bacteria,Chloroflexi,KD4-96,,,,18,35,0,0,0,16,0,0,0,0,0,0
2786,Bacteria,Chloroflexi,KD4-96,,,,11,0,0,62,0,0,0,0,0,0,0,0
2787,Bacteria,Chloroflexi,KD4-96,,,,104,0,0,0,0,108,0,0,0,0,0,0
2791,Bacteria,Chloroflexi,KD4-96,,,,26,35,0,0,0,0,0,0,0,0,0,0
2794,Bacteria,Chloroflexi,KD4-96,,,,0,40,0,0,0,30,0,0,0,0,0,0
2799,Bacteria,Chloroflexi,KD4-96,,,,33,0,0,44,0,18,0,0,0,0,0,0
2814,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,39,0,0,0,0,24,0,0,0,0,0,0
2852,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter,0,0,0,0,0,64,0,0,0,0,65,0
2857,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,44,0,0,0,0,57,0,0,0,0,0,0
2858,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,0,0,0,83,0,0,0,0,94,0,0,0
2862,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,,0,0,0,0,0,0,48,0,0,0,25,0
2864,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,,53,0,0,74,0,0,0,0,0,65,18,0
2900,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,87,0,0,0,0,55,0,0,0,0,0,0
2984,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,0,32,0,0,0,0,0,0,0,189,228,0
2991,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,63,19,8,12,8,49,0,51,0,0,18,8
2992,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,40,3,4,11,4,36,0,0,0,0,23,18
2993,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,,44,7,10,12,23,37,0,0,0,56,15,7
2994,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,52,5,12,7,12,49,0,0,0,0,25,68
2995,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,39,10,1,15,0,46,0,0,0,0,26,24
2996,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,31,1,8,1,8,30,0,0,0,0,7,22
2998,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,,10,0,0,7,0,9,0,0,0,0,0,0
2999,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,,7,0,0,5,0,4,0,0,0,0,0,0
3000,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,,9,0,0,0,0,7,0,0,0,0,0,0
3004,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,,20,0,0,0,0,21,0,0,0,0,0,0
3007,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,19,0,0,0,0,27,0,138,0,0,0,0
3011,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,0,25,0,0,0,0,0,48,0,0,0,0
3014,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,0,39,0,0,0,0,0,145,0,0,21,0
3016,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,76,24,0,0,356,38,0,0,0,0,10,0
3033,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,54,0,0,0,0,110,0,0,0,0,0,0
3036,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,90,83,4,18,2,55,0,63,0,0,28,10
3037,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,65,22,7,38,35,52,0,0,0,47,28,5
3038,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,81,2,1,7,17,57,0,0,0,0,54,97
3039,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,54,17,10,6,32,38,0,34,0,0,21,27
3066,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,,40,25,0,0,0,0,0,0,0,0,0,0
3073,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,,0,45,0,0,0,0,0,0,0,0,89,0
3081,Bacteria,Myxococcota,bacteriap25,,,,0,14,0,0,0,74,0,0,0,0,0,0
3095,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Streptosporangium,42,95,0,0,0,0,0,0,0,0,0,0
3112,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,,45,0,22,0,0,40,0,0,0,0,0,92
3165,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,0,0,0,0,42,19,0,0,0,57,0,0
3167,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,35,0,0,0,0,0,0,83,0,0,81,0
3177,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,5,6,7,109,0,11,0,0,76,0,0,0
3178,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,7,8,7,0,0,6,0,0,0,0,0,36
3179,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,10,3,13,0,0,11,0,0,0,55,24,0
3180,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,9,8,7,0,0,6,0,0,0,0,0,53
3181,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,9,17,4,0,0,4,0,0,0,0,0,0
3182,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,9,13,5,0,0,3,0,0,0,0,38,50
3183,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,10,2,6,0,0,10,0,0,0,77,0,0
3196,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,135,0,0,0,0,143,0,0,0,0,0,0
3203,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,13,9,0,0,0,0,0,0,0,0,11,0
3204,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,0,10,0,0,74,0,0,0,0,0,5,0
3205,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,0,8,0,0,0,171,0,0,0,0,10,0
3206,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,26,11,0,0,0,0,0,0,0,142,7,0
3207,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,0,9,0,0,0,0,0,0,0,0,16,0
3243,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,,,4,17,0,0,0,23,0,0,0,38,0,0
3246,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,,,12,0,0,0,0,0,63,0,0,0,0,0
3247,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,,,3,16,0,0,0,31,0,0,0,0,0,0
3249,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,,,0,23,0,0,0,0,0,0,0,0,88,0
3280,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,0,0,18,0,0,7,0,93,124,0,0,0
3281,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,25,0,0,0,0,30,0,0,0,0,0,220
3282,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,0,125,7,0,0,0,99,0,0,0,0,0
3283,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,16,0,0,0,0,31,0,0,0,64,31,0
3285,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,5,0,15,0,0,0,0,0,0,0,28,0
3287,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,28,0,22,0,0,0,0,0,0,0,0,0
3291,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,0,0,14,0,0,0,0,0,0,55,0,0
3306,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,0,15,0,155,0,0,0,0,0,97,0,0
3310,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,0,31,0,0,0,0,42,0,0,0,0,0
3334,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,0,0,0,0,0,0,153,0,0,0,10,0
3345,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,0,0,0,0,0,0,0,32,0,44,0,0
3346,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,11,37,0,0,0,21,0,0,0,0,0,0
3347,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,16,0,0,69,0,6,0,0,0,0,0,0
