,Kingdom,Phylum,Class,Order,Family,Genus,SRR21231019,SRR21231020,SRR21231021,SRR21231022,SRR21231023,SRR21231024,SRR21231025,SRR21231026,SRR21231027,SRR21231028,SRR21231029,SRR21231030
4449,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,47,0,0,0,0,43,0,0,0,0,0,0
4461,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,0,0,0,0,0,0,58,0,0,0,76,0
4470,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,16,44,0,0,0,0,0,0,0,0,0,0
4494,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,0,11,9,0,0,0,0,0,0,0,0,0
4495,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,0,8,6,0,0,0,0,0,0,0,0,0
4496,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,0,6,9,0,0,20,0,0,0,0,0,0
4558,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,46,0,0,0,0,50,0,0,0,0,0,0
4588,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,35,0,0,0,0,38,0,0,0,0,0,0
4605,Bacteria,Chloroflexi,KD4-96,,,,4,22,0,0,0,3,150,0,0,0,0,0
4606,Bacteria,Chloroflexi,KD4-96,,,,7,29,0,0,0,17,0,0,0,0,0,0
4624,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,31,0,0,0,0,42,0,0,0,0,0,0
4666,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,32,12,5,3,3,41,0,40,0,0,12,3
4667,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,,33,4,5,13,17,28,0,0,0,0,10,4
4668,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,23,10,4,4,2,22,0,0,0,0,8,7
4669,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,27,4,8,6,0,22,0,0,32,0,8,26
4670,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,24,10,6,3,16,18,0,29,0,0,10,18
4671,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,,6,0,0,4,0,8,0,0,0,0,0,0
4683,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,21,1,6,10,9,23,0,0,0,0,13,16
4685,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,,31,18,0,0,0,0,0,0,0,0,0,0
4711,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,6,7,2,48,0,14,0,0,56,0,0,0
4713,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,16,2,0,0,5,0,0,0,0,37,41
4714,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,10,3,0,0,0,11,0,0,0,59,0,0
4716,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,0,10,0,0,0,0,0,0,0,0,0,54
4744,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,0,24,0,0,0,58,0,0,0,0,0,0
4750,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,14,0,0,0,0,28,0,0,0,0,0,0
4817,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,,,0,18,0,0,0,0,0,83,0,0,82,0
4829,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,20,0,0,0,0,27,0,0,0,0,0,0
4836,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,,,59,28,0,0,0,0,0,0,0,0,0,0
4839,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,,,4,22,0,0,0,17,0,0,0,0,0,0
4845,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,,35,0,0,0,0,0,0,0,0,0,176,0
4973,Eukaryota,,,,,,0,0,0,0,0,0,0,0,8,11,0,0
4976,,,,,,,0,0,0,0,0,0,0,0,4,0,0,6
4977,,,,,,,0,0,0,36,0,0,0,15,0,0,0,0
4978,Bacteria,,,,,,0,0,0,21,0,0,0,0,0,0,0,10
